iter	Passed	Remaining
0	71	71031
1	85	42770
2	98	32786
3	112	28071
4	128	25473
5	143	23774
6	158	22515
7	172	21415
8	195	21502
9	209	20726
10	224	20152
11	238	19662
12	252	19159
13	266	18745
14	280	18439
15	296	18219
16	310	17940
17	323	17641
18	336	17379
19	350	17176
20	363	16938
21	377	16769
22	389	16556
23	401	16346
24	415	16215
25	428	16037
26	440	15859
27	452	15716
28	465	15585
29	479	15503
30	493	15414
31	507	15339
32	520	15263
33	535	15209
34	550	15178
35	564	15106
36	578	15057
37	594	15042
38	611	15069
39	625	15007
40	638	14928
41	652	14873
42	664	14797
43	678	14741
44	696	14772
45	710	14738
46	722	14650
47	735	14578
48	750	14556
49	762	14491
50	775	14431
51	790	14404
52	802	14342
53	815	14285
54	829	14260
55	843	14224
56	856	14173
57	870	14137
58	883	14090
59	896	14048
60	910	14018
61	924	13985
62	938	13954
63	951	13913
64	965	13886
65	978	13847
66	994	13842
67	1008	13821
68	1022	13799
69	1037	13777
70	1051	13764
71	1065	13734
72	1079	13705
73	1092	13676
74	1107	13659
75	1119	13608
76	1132	13581
77	1146	13550
78	1160	13525
79	1176	13530
80	1193	13536
81	1206	13506
82	1218	13460
83	1230	13415
84	1244	13396
85	1257	13367
86	1270	13334
87	1283	13306
88	1296	13267
89	1307	13224
90	1320	13187
91	1332	13146
92	1343	13106
93	1356	13075
94	1370	13051
95	1384	13035
96	1397	13008
97	1409	12974
98	1423	12950
99	1436	12928
100	1450	12907
101	1463	12886
102	1476	12862
103	1489	12834
104	1504	12820
105	1518	12804
106	1532	12792
107	1546	12770
108	1560	12755
109	1574	12738
110	1589	12733
111	1603	12716
112	1616	12688
113	1629	12661
114	1642	12639
115	1655	12617
116	1670	12606
117	1682	12575
118	1697	12568
119	1711	12550
120	1725	12532
121	1739	12518
122	1753	12502
123	1766	12480
124	1780	12466
125	1793	12443
126	1805	12411
127	1821	12405
128	1834	12387
129	1848	12367
130	1861	12349
131	1874	12325
132	1889	12314
133	1901	12290
134	1914	12266
135	1926	12239
136	1939	12216
137	1952	12199
138	1964	12168
139	1975	12137
140	1989	12120
141	2003	12104
142	2016	12082
143	2028	12060
144	2042	12041
145	2057	12036
146	2073	12032
147	2087	12018
148	2101	12002
149	2119	12012
150	2133	11995
151	2146	11972
152	2160	11958
153	2173	11939
154	2193	11957
155	2206	11939
156	2219	11916
157	2230	11888
158	2244	11869
159	2256	11848
160	2269	11829
161	2282	11806
162	2295	11788
163	2309	11775
164	2322	11751
165	2334	11730
166	2346	11703
167	2358	11682
168	2373	11669
169	2384	11641
170	2398	11630
171	2410	11605
172	2423	11585
173	2437	11569
174	2449	11549
175	2462	11528
176	2475	11512
177	2489	11496
178	2501	11472
179	2516	11462
180	2531	11453
181	2545	11442
182	2559	11425
183	2576	11426
184	2590	11411
185	2602	11391
186	2616	11375
187	2629	11357
188	2643	11344
189	2658	11332
190	2674	11329
191	2690	11321
192	2704	11310
193	2718	11294
194	2732	11280
195	2746	11265
196	2760	11250
197	2772	11228
198	2784	11207
199	2797	11190
200	2810	11172
201	2823	11156
202	2836	11136
203	2850	11121
204	2862	11102
205	2874	11081
206	2889	11067
207	2902	11050
208	2915	11035
209	2929	11020
210	2945	11013
211	2957	10993
212	2971	10979
213	2985	10965
214	2998	10947
215	3012	10934
216	3025	10917
217	3038	10900
218	3049	10875
219	3064	10863
220	3077	10846
221	3091	10832
222	3103	10814
223	3117	10801
224	3130	10781
225	3145	10772
226	3159	10760
227	3174	10748
228	3188	10733
229	3205	10731
230	3219	10719
231	3232	10701
232	3246	10687
233	3259	10670
234	3272	10653
235	3284	10633
236	3298	10618
237	3310	10599
238	3323	10580
239	3333	10556
240	3346	10540
241	3360	10524
242	3374	10510
243	3387	10494
244	3399	10477
245	3412	10458
246	3424	10439
247	3437	10422
248	3451	10411
249	3464	10394
250	3476	10373
251	3490	10362
252	3505	10349
253	3517	10331
254	3533	10322
255	3547	10308
256	3561	10297
257	3574	10280
258	3589	10268
259	3602	10252
260	3614	10234
261	3627	10218
262	3648	10223
263	3660	10206
264	3674	10191
265	3687	10176
266	3701	10160
267	3715	10149
268	3727	10130
269	3740	10113
270	3754	10100
271	3766	10082
272	3779	10065
273	3793	10050
274	3806	10035
275	3819	10019
276	3832	10004
277	3845	9987
278	3858	9970
279	3869	9951
280	3881	9932
281	3895	9918
282	3908	9902
283	3922	9888
284	3935	9872
285	3947	9855
286	3961	9840
287	3975	9827
288	3987	9810
289	4000	9795
290	4013	9777
291	4026	9762
292	4038	9745
293	4053	9732
294	4065	9715
295	4079	9703
296	4094	9691
297	4107	9676
298	4119	9657
299	4132	9643
300	4146	9628
301	4160	9616
